,areaType,areaCode,areaName,date,age,newCasesBySpecimenDate,newCasesBySpecimenDateRollingSum,newCasesBySpecimenDateRollingRate
2205207,overview,K02000001,United Kingdom,2020-02-07,75_79,0,0,0.0
2205208,overview,K02000001,United Kingdom,2020-02-07,80_84,0,0,0.0
2205209,overview,K02000001,United Kingdom,2020-02-07,85_89,0,0,0.0
2205210,overview,K02000001,United Kingdom,2020-02-07,90+,0,0,0.0
2205211,overview,K02000001,United Kingdom,2020-02-07,unassigned,0,0,
2205212,overview,K02000001,United Kingdom,2020-02-07,60+,0,1,0.0
2205213,overview,K02000001,United Kingdom,2020-02-07,0_59,0,2,0.0
2205214,overview,K02000001,United Kingdom,2020-02-08,0_4,0,0,0.0
2205215,overview,K02000001,United Kingdom,2020-02-08,5_9,0,0,0.0
2205216,overview,K02000001,United Kingdom,2020-02-08,10_14,0,0,0.0
2205217,overview,K02000001,United Kingdom,2020-02-08,15_19,0,0,0.0
2205218,overview,K02000001,United Kingdom,2020-02-08,20_24,0,0,0.0
2205219,overview,K02000001,United Kingdom,2020-02-08,25_29,0,0,0.0
2205220,overview,K02000001,United Kingdom,2020-02-08,30_34,0,0,0.0
2205221,overview,K02000001,United Kingdom,2020-02-08,35_39,0,0,0.0
2205222,overview,K02000001,United Kingdom,2020-02-08,40_44,0,0,0.0
2205223,overview,K02000001,United Kingdom,2020-02-08,45_49,0,0,0.0
2205224,overview,K02000001,United Kingdom,2020-02-08,50_54,3,4,0.1
2205225,overview,K02000001,United Kingdom,2020-02-08,55_59,1,1,0.0
2205226,overview,K02000001,United Kingdom,2020-02-08,60_64,0,0,0.0
2205227,overview,K02000001,United Kingdom,2020-02-08,65_69,0,0,0.0
2205228,overview,K02000001,United Kingdom,2020-02-08,70_74,0,0,0.0
2205229,overview,K02000001,United Kingdom,2020-02-08,75_79,0,0,0.0
2205230,overview,K02000001,United Kingdom,2020-02-08,80_84,0,0,0.0
2205231,overview,K02000001,United Kingdom,2020-02-08,85_89,0,0,0.0
2205232,overview,K02000001,United Kingdom,2020-02-08,90+,0,0,0.0
2205233,overview,K02000001,United Kingdom,2020-02-08,unassigned,0,0,
2205234,overview,K02000001,United Kingdom,2020-02-08,60+,0,0,0.0
2205235,overview,K02000001,United Kingdom,2020-02-08,0_59,4,5,0.0
2205236,overview,K02000001,United Kingdom,2020-02-09,0_4,0,0,0.0
2205237,overview,K02000001,United Kingdom,2020-02-09,5_9,0,0,0.0
2205238,overview,K02000001,United Kingdom,2020-02-09,10_14,0,0,0.0
2205239,overview,K02000001,United Kingdom,2020-02-09,15_19,0,0,0.0
2205240,overview,K02000001,United Kingdom,2020-02-09,20_24,0,0,0.0
